rank,file_path,hotspot_score,total_churn,commit_count,unique_contributors,sonar_issue_count,github_issue_signal,github_issue_matches,highest_severity,severity_breakdown
247,src/backend/core/tests/test_models_recording_accesses.py,0.0032452673184938633,312,1,1,0.0,0.00253592561284869,0,NONE,
248,src/backend/core/external_api/viewsets.py,0.0032348658206781777,311,13,1,0.0,0.00253592561284869,0,NONE,
249,src/frontend/src/features/rooms/livekit/components/Effects.tsx,0.0031828583315997505,306,8,2,0.0,0.00253592561284869,0,NONE,
250,src/backend/core/tests/recording/test_api_recordings_media_auth.py,0.0031620553359683794,304,2,1,0.0,0.00253592561284869,0,NONE,
251,src/backend/core/tests/recording/event/test_notification.py,0.003110047846889952,299,6,1,0.0,0.00253592561284869,0,NONE,
252,src/frontend/src/features/rooms/livekit/components/blur/BackgroundBlurCustomProcessor.ts,0.0030996463490742666,298,4,1,0.0,0.00253592561284869,0,NONE,
253,src/backend/core/tests/test_models_recording.py,0.003058040357811525,294,5,1,0.0,0.00253592561284869,0,NONE,
254,bin/start-kind.sh,0.0030476388599958394,293,6,3,0.0,0.00253592561284869,0,NONE,
255,src/frontend/src/features/rooms/livekit/components/controls/Options/OptionsMenu.tsx,0.003016434366548783,290,4,1,0.0,0.00253592561284869,0,NONE,
256,src/frontend/src/features/rooms/livekit/prefabs/ControlBar/MobileControlBar.tsx,0.0029852298731017266,287,15,3,0.0,0.00253592561284869,0,NONE,
257,src/frontend/src/primitives/menuRecipe.ts,0.0029540253796546704,284,4,2,0.0,0.00253592561284869,0,NONE,
258,src/summary/summary/core/analytics.py,0.002902017890576243,279,14,2,0.0,0.00253592561284869,0,NONE,
259,src/backend/core/recording/event/notification.py,0.0028916163927605576,278,13,3,0.0,0.00253592561284869,0,NONE,
260,docs/installation/compose.md,0.0028708133971291866,276,7,5,0.0,0.00253592561284869,0,NONE,
261,.github/workflows/impress.yml,0.002829207405866445,272,1,1,0.0,0.00253592561284869,0,NONE,
262,src/backend/core/tests/files/test_api_files_upload_ended.py,0.002829207405866445,272,1,1,0.0,0.00253592561284869,0,NONE,
263,src/helm/impress/templates/webrtc_deployment.yaml,0.002829207405866445,272,2,2,0.0,0.00253592561284869,0,NONE,
264,src/summary/pyproject.toml,0.002766798418972332,266,69,4,0.0,0.00253592561284869,0,NONE,
265,src/backend/core/tests/test_analytics.py,0.002745995423340961,264,2,1,0.0,0.00253592561284869,0,NONE,
266,src/frontend/src/features/legalsTerms/LegalTermsRoute.tsx,0.0026835864364468482,258,2,1,0.0,0.00253592561284869,0,NONE,
267,src/backend/core/tests/recording/test_api_recordings_retrieve.py,0.00261077595173705,251,4,1,0.0,0.00253592561284869,0,NONE,
268,src/backend/core/tests/rooms/test_api_rooms_subtitle.py,0.0025795714582899937,248,5,1,0.0,0.00253592561284869,0,NONE,
269,src/frontend/src/features/rooms/livekit/hooks/useConnectionObserver.ts,0.002569169960474308,247,7,1,0.0,0.00253592561284869,0,NONE,
270,src/backend/core/tests/recording/test_api_recordings_storage_hook.py,0.002517162471395881,242,6,1,0.0,0.00253592561284869,0,NONE,
271,src/frontend/src/locales/de/home.json,0.002517162471395881,242,19,4,0.0,0.00253592561284869,0,NONE,
272,src/helm/env.d/preprod/values.meet.yaml.gotmpl,0.0025067609735801954,241,17,3,0.0,0.00253592561284869,0,NONE,
